VendorCode,Name,NmID,SubjectName,BrandName,SizeName,ChrtID,OfficeName,17.07.2026,18.07.2026,19.07.2026,20.07.2026,21.07.2026,22.07.2026,23.07.2026,24.07.2026,25.07.2026,26.07.2026
WK20AW60179,Детский костюм для мальчиков,15382008,Костюмы,Wonder Kids,8/9 Лет,44757953,Коледино,0,0,0,0,0,0,0,0,0,0
WK20AW6032,Детский костюм для мальчиков,15382010,Костюмы,,6/7 лет,44757963,Казань,1,1,1,1,1,1,1,1,1,1
M3367_131175645,Базовый свитшот оверсайз утепленный,131175645,Свитшоты,MACHINIST,L,226473380,Коледино,1,1,1,1,1,1,1,1,0,0
M3367_131175645,Базовый свитшот оверсайз утепленный,131175645,Свитшоты,MACHINIST,L,226473380,Краснодар,0,0,0,0,0,1,1,1,1,1
M3367_131175645,Базовый свитшот оверсайз утепленный,131175645,Свитшоты,MACHINIST,M,226473381,Краснодар,1,1,1,1,1,1,1,1,1,1
M3367_131175645,Базовый свитшот оверсайз утепленный,131175645,Свитшоты,MACHINIST,M,226473381,Рязань (Тюшевское),1,1,1,1,1,1,1,1,1,1
M3367_131175645,Базовый свитшот оверсайз утепленный,131175645,Свитшоты,MACHINIST,M,226473381,Тула,1,1,1,1,1,1,1,1,1,1
M3367_131175645,Базовый свитшот оверсайз утепленный,131175645,Свитшоты,MACHINIST,M,226473381,Электросталь,1,0,0,0,1,1,1,1,1,1
M3367_131175645,Базовый свитшот оверсайз утепленный,131175645,Свитшоты,MACHINIST,XL,226473383,Коледино,2,2,2,2,2,2,2,1,1,1
M3367_131175645,Базовый свитшот оверсайз утепленный,131175645,Свитшоты,MACHINIST,XL,226473383,Невинномысск,0,0,0,0,0,1,1,1,1,1
M3367 1007,Базовый свитшот оверсайз утепленный,131176543,Свитшоты,MACHINIST,S,226474500,Астана Карагандинское шоссе,1,1,1,1,1,1,1,1,1,1
PNT4157 1009,Утепленные штаны джоггеры спортивные,139368642,Брюки,MACHINIST,M,236606701,Екатеринбург - Перспективная 14,0,0,0,1,1,1,1,1,1,1
PNT4157 1009,Утепленные штаны джоггеры спортивные,139368642,Брюки,MACHINIST,M,236606701,Краснодар,1,1,1,1,1,1,1,1,1,1
PNT4157 1416,Утепленные штаны джоггеры спортивные,139368643,Брюки,MACHINIST,M,236606705,Казань,2,2,2,2,2,2,2,2,2,2
PNT4157 1416,Утепленные штаны джоггеры спортивные,139368643,Брюки,MACHINIST,M,236606705,Коледино,4,4,4,4,4,4,4,4,4,4
PNT4157 1416,Утепленные штаны джоггеры спортивные,139368643,Брюки,MACHINIST,M,236606705,Краснодар,1,1,1,1,1,1,1,1,1,1
PNT4157 1416,Утепленные штаны джоггеры спортивные,139368643,Брюки,MACHINIST,M,236606705,Тула,2,2,2,2,2,2,2,2,2,2
M3369 1416,Толстовка regular fit однотонная утепленная,143324408,Толстовки,MACHINIST,S,242076830,Тула,1,1,1,1,1,1,1,1,1,1
M3369 1416,Толстовка regular fit однотонная утепленная,143324408,Толстовки,MACHINIST,M,242076831,Казань,1,1,1,1,1,1,1,1,1,1
M3369 1416,Толстовка regular fit однотонная утепленная,143324408,Толстовки,MACHINIST,M,242076831,Тула,1,1,1,1,1,1,1,1,1,1
M3368 1030,Оверсайз толстовка с капюшоном утепленная,143324827,Толстовки,MACHINIST,S,242077457,Владимир WB,1,1,1,1,1,1,1,1,1,1
M3368 1030,Оверсайз толстовка с капюшоном утепленная,143324827,Толстовки,MACHINIST,S,242077457,Краснодар,1,1,1,1,1,1,1,1,1,1
M3368 1030,Оверсайз толстовка с капюшоном утепленная,143324827,Толстовки,MACHINIST,S,242077457,Электросталь,1,0,0,0,1,1,1,1,1,1
M3368 1030,Оверсайз толстовка с капюшоном утепленная,143324827,Толстовки,MACHINIST,M,242077458,Коледино,3,3,3,3,3,3,3,3,3,3
M3368 1030,Оверсайз толстовка с капюшоном утепленная,143324827,Толстовки,MACHINIST,M,242077458,Краснодар,1,1,1,1,1,1,1,1,1,1
M3368 1030,Оверсайз толстовка с капюшоном утепленная,143324827,Толстовки,MACHINIST,M,242077458,Новосемейкино,1,1,1,1,1,1,1,1,1,1
M3368 1030,Оверсайз толстовка с капюшоном утепленная,143324827,Толстовки,MACHINIST,M,242077458,Электросталь,0,0,0,0,2,2,2,2,2,2
M3368 1030,Оверсайз толстовка с капюшоном утепленная,143324827,Толстовки,MACHINIST,L,242077459,Екатеринбург - Перспективная 14,1,1,1,1,1,1,1,1,1,1
M3368 1030,Оверсайз толстовка с капюшоном утепленная,143324827,Толстовки,MACHINIST,XL,242077460,Склад СПБ Шушары Московское,1,1,1,1,1,1,1,1,1,1
M18031227,Футболка оверсайз брендовая с принтом,145963854,Футболки,MACHINIST,XL,245822012,Остальные,0,0,0,0,0,0,0,0,0,0
M18231446,Футболка оверсайз брендовая с принтом,154515770,Футболки,MACHINIST,M,258043132,Остальные,0,0,0,0,0,0,0,0,0,0
PNT41861441,Широкие джоггеры штаны с карманами,154628921,Брюки,MACHINIST,S,258207571,Остальные,0,0,0,0,0,0,0,0,0,0
M18001435,Футболка брендовая с принтом оверсайз,155611749,Футболки,MACHINIST,XL,259729071,Артём,0,0,0,0,0,0,0,0,0,0
M15883 1484,Джинсы,155831070,Джинсы,MACHINIST,29,260049552,Остальные,0,0,0,0,0,0,0,0,0,0
W-603,Трусы боксеры турецкие 3 шт,169463326,Трусы,WOOSTERBOXER,M,281561715,Казань,5,5,5,5,5,5,5,5,5,5
W-603,Трусы боксеры турецкие 3 шт,169463326,Трусы,WOOSTERBOXER,M,281561715,Электросталь,1,0,0,0,1,1,1,1,1,1
W-603,Трусы боксеры турецкие 3 шт,169463326,Трусы,WOOSTERBOXER,L,281561716,Казань,2,2,2,2,2,2,2,2,2,2
W-603,Трусы боксеры турецкие 3 шт,169463326,Трусы,WOOSTERBOXER,L,281561716,Тула,1,1,1,1,1,1,1,1,1,1
W-632,Трусы боксеры турецкие 3 шт,170054357,Трусы,WOOSTERBOXER,M,282446757,Казань,10,10,10,10,10,10,10,10,10,10
W-632,Трусы боксеры турецкие 3 шт,170054357,Трусы,WOOSTERBOXER,L,282446758,Казань,7,7,7,7,7,7,7,7,7,7
W-632,Трусы боксеры турецкие 3 шт,170054357,Трусы,WOOSTERBOXER,XL,282446759,Екатеринбург - Перспективная 14,1,1,1,1,1,1,1,1,1,1
W-632,Трусы боксеры турецкие 3 шт,170054357,Трусы,WOOSTERBOXER,XL,282446759,Краснодар,1,1,1,1,1,1,1,1,1,1
W-634,Трусы боксеры турецкие 3 шт,170054359,Трусы,WOOSTERBOXER,M,282446767,Екатеринбург - Перспективная 14,0,0,0,1,1,1,1,1,1,1
W-634,Трусы боксеры турецкие 3 шт,170054359,Трусы,WOOSTERBOXER,M,282446767,Казань,4,4,4,4,4,4,4,4,4,4
W-634,Трусы боксеры турецкие 3 шт,170054359,Трусы,WOOSTERBOXER,XL,282446769,Казань,1,1,1,1,1,2,2,2,2,2
W-634,Трусы боксеры турецкие 3 шт,170054359,Трусы,WOOSTERBOXER,XL,282446769,Краснодар,1,1,1,1,1,1,1,1,1,1
W-634,Трусы боксеры турецкие 3 шт,170054359,Трусы,WOOSTERBOXER,XL,282446769,Склад СПБ Шушары Московское,1,1,1,1,1,1,1,1,1,1
W-700,Трусы боксеры турецкие 3 шт,170054361,Трусы,WOOSTERBOXER,L,282446774,Владивосток WB,1,1,1,1,1,1,1,1,1,1
W-700,Трусы боксеры турецкие 3 шт,170054361,Трусы,WOOSTERBOXER,L,282446774,Казань,3,3,3,3,3,3,3,3,3,3
W-700,Трусы боксеры турецкие 3 шт,170054361,Трусы,WOOSTERBOXER,L,282446774,Краснодар,0,0,0,0,0,0,0,0,0,0
M3368 1442,Оверсайз толстовка с капюшоном утепленная,172745042,Толстовки,MACHINIST,M,286560841,Коледино,1,1,1,1,1,1,1,1,1,1
M3368 1416,Оверсайз толстовка с капюшоном утепленная,172745043,Толстовки,MACHINIST,S,286560844,Краснодар,1,1,1,1,1,1,1,1,1,1
M3368 1416,Оверсайз толстовка с капюшоном утепленная,172745043,Толстовки,MACHINIST,S,286560844,Тула,2,2,2,2,2,2,2,2,2,2
M3368 1416,Оверсайз толстовка с капюшоном утепленная,172745043,Толстовки,MACHINIST,M,286560845,Казань,1,1,1,1,1,1,1,1,1,1
